"","V1","V2","V3","V4"
"X[[i]]","[交換] 高雄三民 國文/文學 換 插畫","Mon Jun  1 23:12:22 2015","<meta name=""description"" content=""1.對象:28/女&#10;2.地點：三民、左營、苓雅、鳳山附近皆可&#10;3.科目：簡易插畫&#10;4.上課時間：暑假期間，一個禮拜一次，一次1~1.5小時&#10;5.自己的才藝:國中國文/文學/寫作/閱讀皆可&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433171545.A.3E5.html"
"X[[i]]","[家教] 徵台中家教 國二男 數學","Mon Jun  1 23:31:16 2015","<meta name=""description"" content=""徵求家教1名&#10;時薪：300～350&#10;對象：國二男生&#10;科目：數學&#10;地點：黎明路向上路交叉口附近&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433172678.A.BAF.html"
"X[[i]]","[家教] 桃園南崁 高一數學","Mon Jun  1 23:40:56 2015","<meta name=""description"" content=""1.對象: 高一  男生&#10;2.地點: 桃園南嵌摩斯漢堡&#10;3.科目：高一數學&#10;4.上課時間：一周兩次&#10;5.時薪：400~500 /hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433173270.A.AA0.html"
"X[[i]]","[家教] 彰化 國小英文","Tue Jun  2 00:03:23 2015","<meta name=""description"" content=""1.對象:小四與小六(都男的)&#10;2.地點:彰化縣大村鄉&#10;3.科目：國小英文&#10;4.上課時間：放學時間(可以再和家長談)&#10;5.時薪：一個人350-450 NTD/hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433174606.A.2C9.html"
"X[[i]]","[家教] 嘉義市 高中物理","Tue Jun  2 00:39:13 2015","<meta name=""description"" content=""1.對象: 高二 女生&#10;2.地點: 嘉義市 靠近中油訓練所&#10;3.科目：高中物理&#10;4.上課時間：試教後與學生確認&#10;5.時薪：先試交一次二個小時，時薪400元，後依上課情況與家長確認薪資。&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433176756.A.D6C.html"
"X[[i]]","[家教] 新竹kk音標","Tue Jun  2 00:46:27 2015","<meta name=""description"" content=""1.對象: 29歲女&#10;2.地點: 新竹東區 清交大附近&#10;3.科目：英文KK音標&#10;4.上課時間：假日(時間彈性)&#10;5.時薪：300~400(可談)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433177195.A.70B.html"
"X[[i]]","[家教] 台北市臺灣大學 英文家教 英文論文撰寫","Tue Jun  2 01:20:56 2015","<meta name=""description"" content=""1.對象: 男 28歲&#10;2.地點: 台北市臺灣大學&#10;3.科目：英文論文 英文編修 英文翻譯&#10;4.上課時間：晚上時段較有時間&#10;5.時薪：時薪800&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433179259.A.E98.html"
"X[[i]]","[家教] 台北市 士林 網站架設和美化","Tue Jun  2 01:56:37 2015","<meta name=""description"" content=""1.對象:男 26 （宅宅一枚）&#10;2.地點:台北市士林區忠誠路（或公館附近或台大醫院附近）&#10;3.科目：網站架設（包含伺服器）+網站美化+金流串接&#10;我要架設一個自己的部落格和公司網站（可以的話順便app）&#10;並且要自己做美化&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433181400.A.9A9.html"
"X[[i]]","[家教] 論文量化研究  問卷調查統計設計建議","Tue Jun  2 02:27:45 2015","<meta name=""description"" content=""1.對象: 女/28&#10;2.地點: 公館至古亭一帶&#10;3.科目：問卷調查設計or量化研究or統計&#10;4.上課時間：可商量&#10;5.時薪：600&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433183268.A.8C9.html"
"X[[i]]","[家教] 台東市 國高中 英文 地理 公民","Tue Jun  2 07:18:05 2015","<meta name=""description"" content=""1.對象: 國小六年級要升國中、國中、高中，男女不限&#10;2.地點: 台東市&#10;3.科目：國中高中英文 公民 地理&#10;4.上課時間：周一和周五下午4點至晚上10點，周末全天，每周上課1~3次，每次1~3小時&#10;5.時薪：200~500元&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433200690.A.867.html"
"X[[i]]","[家教] 萬華or台北車站 中文家教","Tue Jun  2 09:15:02 2015","<meta name=""description"" content=""1.對象: 韓國男士 30歲&#10;2.地點: 萬華或台北車站附近咖啡店 捷運方便地點也可&#10;3.科目：初級中文, 日常會話&#10;4.上課時間：平日晚間及假日/一周兩次/熟悉後可增加到三次 (需視狀況而定）&#10;5.時薪：400~500/hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433207704.A.86D.html"
"X[[i]]","[上台] 新北市鶯歌區  國中生物教師(不用教師證)","Tue Jun  2 09:35:24 2015","<meta name=""description"" content=""1.對象: 七年級學生←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點: 新北市鶯歌←(請注意自身安全、財物等。)&#10;3.科目：生物&#10;4.補習班名稱: 公立國中&#10;5.上課時間：周一到週五(週五下午不會排課) 可配合老師時間 排四天&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433208927.A.DCB.html"
"X[[i]]","[家教] 台北市內湖 國三英文","Tue Jun  2 10:11:10 2015","<meta name=""description"" content=""1.對象:國三男生&#10;2.地點:英文近台北內湖西湖捷運站&#10;3.科目：英文&#10;4.上課時間：星期四 17：30 - 19：30&#10;5.時薪：400元&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433211072.A.774.html"
"X[[i]]","[家教] 新北市新莊 高中物理","Tue Jun  2 10:13:26 2015","<meta name=""description"" content=""1.對象:高二男生 17歲&#10;2.地點:新北市新莊區中原路 學生住家&#10;3.科目：高中物理&#10;4.上課時間：除星期一晚上與星期日早上，其餘時段皆可，再與學生討論&#10;5.時薪：500-600/時&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433211208.A.DE3.html"
"X[[i]]","[交換] 程式、工數換吉他","Tue Jun  2 11:08:41 2015","<meta name=""description"" content=""1.對象:20歲女&#10;2.地點： 新竹火車站或清交附近&#10;3.科目：吉他&#10;4.上課時間：暑假&#10;5.自己的才藝:程式語言（c,c++,java），工數&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433214523.A.20C.html"
"X[[i]]","[課輔] 新竹竹科附近 小一英文課輔","Tue Jun  2 13:17:43 2015","<meta name=""description"" content=""1.對象:國小一年級男生 ←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點:新竹關興路附近 ←(請注意自身安全、財物等。)&#10;3.科目：英文&#10;4.補習班名稱:&#10;5.上課時間：1周兩次，每次2小時&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433222266.A.830.html"
"X[[i]]","[家教] 台北公館 統計學   ","Tue Jun  2 13:28:31 2015","<meta name=""description"" content=""1.對象:24 女←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點:台北 公館or善導寺 附近 咖啡廳之類公共場合&#10;3.科目：統計學 (大學大二程度)&#10;4.上課時間：基本上希望從暑假7月到明年6月(大約一年)&#10;5.時薪：600-800/hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433222914.A.012.html"
"X[[i]]","[上台] 新竹市市區 國中科學實驗","Tue Jun  2 13:33:50 2015","<meta name=""description"" content=""1.對象: 國中生 ←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點: 新竹市區←(請注意自身安全、財物等。)&#10;3.科目：科學實驗&#10;4.補習班名稱:上尚文化企業有限公司&#10;5.上課時間：周一到五13:00~15:00 or 16:00~18:00&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433223233.A.B61.html"
"X[[i]]","[上台] 林口長庚揚才家教班誠徵英文老師","Tue Jun  2 13:56:39 2015","<meta name=""description"" content=""1.對象:國中生數名 高中生數名 ←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;       皆4到12名小朋友唷&#10;2.地點:林口班(林口高中旁) 長庚班(林口長庚醫院旁) ←(請注意自身安全、財物等。)&#10;3.科目：英文&#10;4.補習班名稱:揚才家教班&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433224602.A.65F.html"
"X[[i]]","[上台] 新竹市誠徵烘培點心老師","Tue Jun  2 16:02:39 2015","<meta name=""description"" content=""1.對象:小一至小六 男女都有&#10;2.地點: 新竹市光復路一段341號2樓&#10;3.科目：烘培點心老師&#10;4.補習班名稱: Otto2藝術會館&#10;5.上課時間：星期四 晚上6:40~7:40&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433232161.A.687.html"
"X[[i]]","[上台] 台中 沙鹿 國小數學老師","Tue Jun  2 16:45:14 2015","<meta name=""description"" content=""時間：每周二 9:30-11:30&#10;地點：沙鹿千葉火鍋旁&#10;補習班：佳音英語-沙鹿分校&#10;時薪：400/hr&#10;條件：需有相關教學經驗，教材可討論或自備。&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433234716.A.1FD.html"
"X[[i]]","[交換] 鋼琴/英文/法文/ 交換 good boy MV舞蹈","Tue Jun  2 19:14:09 2015","<meta name=""description"" content=""1.對象:22歲 女大生&#10;2.地點： 可以跳舞的地方&#10;3.科目：BIGBANG-GOOD BOY舞蹈(到1:35即可)&#10;4.上課時間：平日下午/晚上 或假日下午/晚上&#10;5.自己的才藝:鋼琴-小奏鳴曲程度/英文-多益860/法文-DELF.B1&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433243652.A.E4B.html"
"X[[i]]","[家教]國中科展指導 新竹","Tue Jun  2 21:26:44 2015","<meta name=""description"" content=""1.對象:(自己學程年級/自己性別/沒寫性別水桶一個月)&#10;國中國二學生三位/boys&#10;2.地點:(寫出大略位置 讓板友評估距離:D)&#10;三民國中附近&#10;3.科目： 國中科展數學科&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433251606.A.425.html"
"X[[i]]","[家教] 新竹楠雅街附近 高中物理","Tue Jun  2 21:34:15 2015","<meta name=""description"" content=""1.對象:實驗高中科學班高一升高二男生&#10;2.地點:新竹市楠雅街附近&#10;3.科目：物理&#10;4.上課時間：暑假開始&#10;5.時薪：600~700可洽談(每小時)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433252057.A.4D7.html"
"X[[i]]","[公告] 違規名單","Tue Jun  2 22:35:45 2015","<meta name=""description"" content="" 作者  Ptt5 (qq)                                              看板  HomeTeach&#10; 標題  [陪讀] 嘉義市幼兒陪玩&#10; 時間  Fri Nov 28 16:24:27 2014&#10; 作者  Ptt5 (qq)                                              看板  HomeTeach&#10; 標題  [陪讀] 嘉義市東區 幼兒陪玩&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433255747.A.78C.html"
"X[[i]]","[家教] 徵求高雄特教家教一名","Tue Jun  2 23:19:54 2015","<meta name=""description"" content=""1.對象: 國中二年級男生，目前讀特教班&#10;2.地點: 高雄市苓雅區&#10;3.科目：國/數/社會，約國小1-3年紀程度&#10;4.上課時間：ㄧ週三天，每日2小時&#10;5.時薪：350~500（我幫我同學待ｐｏ，如果覺得太低可反應）&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433258402.A.F14.html"
"X[[i]]","[家教] 屏東成人英文","Tue Jun  2 23:31:30 2015","<meta name=""description"" content=""1.對象:男 26&#10;2.地點:屏東市，以咖啡店為主&#10;3.科目：商業會話、寫作&#10;4.上課時間：平日晚上1.5小時，一周一次&#10;5.時薪：600/一堂課&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433259093.A.857.html"
"X[[i]]","[家教] 台北市大同區 高中數學 物理","Tue Jun  2 23:33:19 2015","<meta name=""description"" content=""1.對象: 高一升高二 女&#10;2.地點: 台北市大同區延平北路4段&#10;(那裏捷運跟公車都有一段距離 建議自己有交通工具較方便)&#10;3.科目：數學 物理&#10;4.上課時間：6月開始 星期二或四或五 晚上6:00後 9:30前 抓2小時上課&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433259203.A.29E.html"
"X[[i]]","[家教] 徵求高雄幼教老師一名","Tue Jun  2 23:43:53 2015","<meta name=""description"" content=""1.對象: 約2歲幼兒&#10;2.地點: 高雄市苓雅區&#10;3.科目：說故事、遊戲設計、教具教導&#10;4.上課時間：ㄧ週四天，早上9:30-11:30，每日2小時&#10;5.時薪：350~500（我幫我同學待ｐｏ，如果覺得太低可反應）&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433259837.A.06A.html"
"X[[i]]","https://www.ptt.cc/bbs/HomeTeach/M.1433261509.A.A26.html","https://www.ptt.cc/bbs/HomeTeach/M.1433261509.A.A26.html","https://www.ptt.cc/bbs/HomeTeach/M.1433261509.A.A26.html","https://www.ptt.cc/bbs/HomeTeach/M.1433261509.A.A26.html"
"X[[i]]","[家教] 高雄 excel 巨集","Wed Jun  3 00:48:11 2015","<meta name=""description"" content=""1.對象:女 30&#10;2.地點: 高雄市區的麥當勞 星巴克 或咖啡店&#10;3.科目：excel巨集&#10;4.上課時間：平日晚上或週日 每次1~2小時&#10;5.時薪：400/第一次  若可以聽懂的話之後500&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433263694.A.338.html"
"X[[i]]","[家教] 台北市 錄製Cover (爵士鼓","Wed Jun  3 02:13:20 2015","<meta name=""description"" content=""1.對象: 27 男&#10;2.地點: 台北市 (有自己的地方更好&#10;3.科目：錄製Cover&#10;4.上課時間：平日晚上 or 假日&#10;5.時薪：300-500/hr  (細節再討論&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433268802.A.D56.html"
"X[[i]]","[家教] 台南市北區 論文指導(管理)","Wed Jun  3 03:19:39 2015","<meta name=""description"" content=""1.對象:28歲 男性&#10;2.地點:台南市區&#10;3.科目：研究所論文家教(管理相關)&#10;4.上課時間：白天為主(相約)&#10;5.時薪：上課時間每小時300-700元 看您的條件而定&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433272782.A.104.html"
"X[[i]]","[家教] 台中市 英文會話 English tutor","Wed Jun  3 06:28:20 2015","<meta name=""description"" content=""1.對象:15歲男; 15 years old male&#10;2.地點: 西屯區近逢甲大學; xi tun dist Taichung near Feng Chia University&#10;3.科目：English conversation&#10;4.上課時間：平日晚上、假日晚上&#10;5.時薪：600/hr - 800/hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433284104.A.6B2.html"
"X[[i]]","[公告]　違規名單","Wed Jun  3 08:38:03 2015","<meta name=""description"" content="" 作者  curban (ZZZ)                                           看板  HomeTeach&#10; 標題  [家教&amp;課輔] 台北市 高中英文與國中英文&#10; 時間  Mon May 25 19:32:47 2015&#10;───────────────────────────────────────&#10; 作者  curban (ZZZ)                                           看板  HomeTeach&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433291885.A.B92.html"
"X[[i]]","[家教] 台北市大同區  高中數學","Wed Jun  3 09:24:52 2015","<meta name=""description"" content=""1.對    象: 高二女生&#10;2.地    點: 台北市大同區&#10;3.科    目：統測工科C數學全四冊之總複習&#10;4.上課時間：暑假期間每周三、周六,一次三小時&#10;            開學後每周六下午三小時&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433294694.A.1D1.html"
"X[[i]]","[上台] 高雄市苓雅 國中英文","Wed Jun  3 10:29:55 2015","<meta name=""description"" content=""1.對象: 國二升國三 三人←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點: 高雄市五福國中旁←(請注意自身安全、財物等。)&#10;3.科目：國中英文&#10;4.補習班名稱:私立建翰文理補習班&#10;5.上課時間：三18:30~20:00 六10:30~12:00&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433298598.A.FF9.html"
"X[[i]]","[討論] 請問遇到補習班裝死不付薪水的情形","Wed Jun  3 11:28:54 2015","<meta name=""description"" content=""如題&#10;我在板上徵得一間補習班上台老師的工作&#10;不過最近補習班貌似是要收起來&#10;因此班主任說要與我另約時間拿最後兩個月的薪資&#10;但現在班主任的電話一直關機打不通&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433302137.A.054.html"
"X[[i]]","[上台] 桃園市(近振聲中學) 小學兒童美語","Wed Jun  3 11:39:28 2015","<meta name=""description"" content=""1.對象:小學一~六年級小班制1~7人(男女都有) ←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點:桃園市大同西路(近振聲中學) ←(請注意自身安全、財物等。)&#10;3.科目：美語&#10;4.補習班名稱:托福幼兒園&#10;5.上課時間：希望到職日為06/10,最晚06/15。一、三下午(時間可再調整一~五下午皆可)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433302771.A.EE5.html"
"X[[i]]","[公告] 違規名單","Wed Jun  3 15:01:07 2015","<meta name=""description"" content=""薪資範圍不明確，禁言14天。&#10;a305341、yoliyoli、neverseveral、tutorsyeh、hTCJB&#10;仲介家教未附上合法立案之許可證號，禁言30天且退文。&#10;PercyShelley&#10;----&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433314870.A.57D.html"
"X[[i]]","[家教] 新竹市區 高一數學家教","Wed Jun  3 16:16:51 2015","<meta name=""description"" content=""1.對象: 即將上高一的學生一名&#10;2.地點: 新竹市區&#10;3.科目：數學&#10;4.上課時間：一到五的晚間6點半以後，每周上課次數與時間需跟家長討論。&#10;5.時薪：每小時450~500元(面議)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433319413.A.5BC.html"
"X[[i]]","[家教] 台北市一對一高中作文","Wed Jun  3 16:26:18 2015","<meta name=""description"" content=""1.對象: 高中生&#10;2.地點: 羅斯福路一段38號3樓&#10;3.科目：作文國文&#10;4.上課時間：依照學生需求排班&#10;5.時薪：400hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433319980.A.0C1.html"
"X[[i]]","[家教] 新北市板橋  國三英文","Wed Jun  3 19:04:39 2015","<meta name=""description"" content=""1.對象: 國二生國三女生&#10;2.地點: 板橋，近板橋車站&#10;3.科目：英文&#10;4.上課時間：暑假時間與家長討論，開學後為假日&#10;5.時薪：500~550/hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433329482.A.DA2.html"
"X[[i]]","[家教] 新北市板橋樹林附近 成人素描","Wed Jun  3 20:30:59 2015","<meta name=""description"" content=""1.對象: 25歲男生&#10;2.地點: 板橋或樹林附近&#10;3.科目：素描&#10;4.上課時間：希望能在7月開始，每週兩次&#10;5.時薪：250/hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433334661.A.627.html"
"X[[i]]","[家教] 電力電子","Wed Jun  3 22:46:59 2015","<meta name=""description"" content=""1.對象:大學生 ←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點:台北市永春捷運站 ←(請注意自身安全、財物等。)&#10;3.科目：電力電子&#10;4.上課時間：平日晚間7:30&#10;5.時薪：500←(不能打&quot;面議、詳談、可議、自行開價等；若限制水桶14天。)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433342822.A.7E7.html"
"X[[i]]","[家教] 桃園市寶山街 高中英文","Thu Jun  4 00:16:19 2015","<meta name=""description"" content=""1.對象: 高二/男&#10;2.地點: 桃園市寶山街&#10;3.科目：英文&#10;4.上課時間：星期五或星期六&#10;5.時薪：500&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433348181.A.622.html"
"X[[i]]","[上台]甄戰學習中心徵全職教師月薪NTD36,000元起","Thu Jun  4 00:36:35 2015","<meta name=""description"" content=""1.對象: ←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;年齡 15 歲 ~ 30 歲 (高中生~在職人士)，男女皆有&#10;2.地點: ←(請注意自身安全、財物等。)&#10;台中市南區復興路三段 503 號&#10;3.科目：&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433349400.A.60E.html"
"X[[i]]","台北大學生兩位 英文會話","Thu Jun  4 01:50:15 2015","<meta name=""description"" content=""1.對象：兩位大學生１９、２０歲（一男一女）&#10;2.地點：捷運公館站附近咖啡館（可再商量～）&#10;3.科目：英文會話&#10;4.時間：平日晚上五點過後，假日中午過後～；希望一周兩次&#10;5.薪資：每人550/hr（可議）&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433353818.A.F17.html"
"X[[i]]","[家教] 德文會話","Thu Jun  4 11:55:07 2015","<meta name=""description"" content=""1.對象: 23歲，女，大五學生，3-4人&#10;2.地點: 高醫大學校周圍&#10;3.科目：德文基礎會話&#10;4.上課時間：八月份開始，一週2次&#10;5.時薪：800-1000/hr (可議)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433390110.A.A7A.html"
"X[[i]]","Re: [家教] 徵求高雄特教家教一名","Thu Jun  4 16:33:50 2015","<meta name=""description"" content="":&#10;: 如使用者對於本篇文章想回覆者，請記得按M，回覆至作者信箱&#10;: 誤發至板上三天內有權自行刪除一次，再犯者水桶兩週。&#10;雖然心情很不好，但我盡量以平穩的語氣來描述剛才遇到的狀況。&#10;昨天我去電給陳小姐，在電話中向她簡短說明我的教學經歷後，對方跟我約3:30在民權二&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433406833.A.4C5.html"
"X[[i]]","[仲介] 全國TOP家教中心 6.4更新","Fri Jun  5 00:02:30 2015","<meta name=""description"" content=""若要接家教案件 請到下列網址登錄：&#10;因為不明原因，&#10;無法以點擊網址方式開啟網頁&#10;因此請將網址直接貼到瀏覽器之網址列，開啟網頁，&#10;如果網頁仍然無法開啟，請聯絡(03)3627962，&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433433753.A.BCC.html"
"X[[i]]","[上台] 台北市關渡補習班徵國中數學老師","Fri Jun  5 00:18:36 2015","<meta name=""description"" content=""1.對象:國一學生,男女皆有,約8人 ←(年齡、性別缺一不可；漏掉一個水桶三天。)&#10;2.地點:台北市北投區知行路208-2號2樓 ←(請注意自身安全、財物等。)&#10;3.科目：國中數學&#10;4.補習班名稱:沐風文理美術補習班 立案字號:證字第3937號&#10;5.上課時間：7/13起每周一、四　或　三、五　18:45~20:45&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433434718.A.A5A.html"
